CMPLNT_NUM,CMPLNT_FR_DT,CMPLNT_FR_TM,CMPLNT_TO_DT,CMPLNT_TO_TM,ADDR_PCT_CD,RPT_DT,KY_CD,OFNS_DESC,PD_CD,PD_DESC,CRM_ATPT_CPTD_CD,LAW_CAT_CD,BORO_NM,LOC_OF_OCCUR_DESC,PREM_TYP_DESC,JURIS_DESC,JURISDICTION_CODE,PARKS_NM,HADEVELOPT,HOUSING_PSA,X_COORD_CD,Y_COORD_CD,SUSP_AGE_GROUP,SUSP_RACE,SUSP_SEX,TRANSIT_DISTRICT,Latitude,Longitude,Lat_Lon,PATROL_BORO,STATION_NAME,VIC_AGE_GROUP,VIC_RACE,VIC_SEX
964950894,05/04/2007,23:40:00,,,42,05/05/2007,344,ASSAULT 3 & RELATED OFFENSES,101,ASSAULT 3,COMPLETED,MISDEMEANOR,BRONX,INSIDE,PARK/PLAYGROUND,N.Y. POLICE DEPT,0,NA,,NA,1014875,244467,<18,WHITE HISPANIC,M,,40.837635873,-73.889325316,"(40.837635873, -73.889325316)",PATROL BORO BRONX,,18-24,WHITE HISPANIC,F
585558717,11/25/2015,18:35:00,11/25/2015,18:45:00,83,11/25/2015,105,ROBBERY,397,"ROBBERY,OPEN AREA UNCLASSIFIED",ATTEMPTED,FELONY,BROOKLYN,,STREET,N.Y. POLICE DEPT,0,,,NA,1002212,193214,45-64,WHITE HISPANIC,M,,40.696994556,-73.935225256,"(40.696994556, -73.935225256)",PATROL BORO BKLYN NORTH,,25-44,WHITE,F
847999150,04/14/2007,16:01:00,04/14/2007,16:25:00,26,04/14/2007,578,HARRASSMENT 2,638,"HARASSMENT,SUBD 3,4,5",COMPLETED,VIOLATION,MANHATTAN,INSIDE,RESIDENCE - APT. HOUSE,N.Y. POLICE DEPT,0,NA,,NA,997592,235014,,,,,40.811733093,-73.951803379,"(40.811733093, -73.951803379)",PATROL BORO MAN NORTH,,25-44,BLACK,F
911178536,01/25/2014,23:35:00,01/25/2014,23:58:00,68,01/26/2014,347,INTOXICATED & IMPAIRED DRIVING,905,"INTOXICATED DRIVING,ALCOHOL",COMPLETED,MISDEMEANOR,BROOKLYN,,HIGHWAY/PARKWAY,N.Y. POLICE DEPT,0,,,NA,978016,172087,,,,,40.639021672,-74.022463524,"(40.639021672, -74.022463524)",PATROL BORO BKLYN SOUTH,,,UNKNOWN,E
865981182,11/29/2006,18:25:00,,,106,11/29/2006,578,HARRASSMENT 2,637,"HARASSMENT,SUBD 1,CIVILIAN",COMPLETED,VIOLATION,QUEENS,INSIDE,RESIDENCE-HOUSE,N.Y. POLICE DEPT,0,NA,,NA,1034334,185302,25-44,WHITE HISPANIC,M,,40.675154477,-73.819443029,"(40.675154477, -73.819443029)",PATROL BORO QUEENS SOUTH,,25-44,WHITE HISPANIC,F
549527748,06/17/2013,20:30:00,,,45,06/17/2013,578,HARRASSMENT 2,638,"HARASSMENT,SUBD 3,4,5",COMPLETED,VIOLATION,BRONX,INSIDE,RESIDENCE-HOUSE,N.Y. POLICE DEPT,0,NA,,NA,1030959,241655,25-44,UNKNOWN,M,,40.829847335,-73.831218812,"(40.829847335, -73.831218812)",PATROL BORO BRONX,,25-44,BLACK HISPANIC,M
399910484,11/01/2009,20:50:00,11/01/2009,21:00:00,120,11/01/2009,365,ADMINISTRATIVE CODE,878,"ADM.CODE,UNCLASSIFIED MISDEMEA",COMPLETED,MISDEMEANOR,STATEN ISLAND,FRONT OF,RESIDENCE-HOUSE,N.Y. POLICE DEPT,0,NA,,NA,948155,171665,45-64,BLACK,F,,40.637792016,-74.130055048,"(40.637792016, -74.130055048)",PATROL BORO STATEN ISLAND,,25-44,BLACK,M
309046868,02/10/2015,16:00:00,02/10/2015,16:05:00,19,02/10/2015,121,CRIMINAL MISCHIEF & RELATED OF,269,"MISCHIEF,CRIMINAL,    UNCL 2ND",COMPLETED,FELONY,MANHATTAN,INSIDE,FAST FOOD,N.Y. POLICE DEPT,0,,,NA,998447,224187,,BLACK,M,,40.782014587,-73.948737573,"(40.782014587, -73.948737573)",PATROL BORO MAN NORTH,,,UNKNOWN,D
603379700,05/27/2008,03:00:00,05/27/2008,03:22:00,67,05/27/2008,347,INTOXICATED & IMPAIRED DRIVING,905,"INTOXICATED DRIVING,ALCOHOL",COMPLETED,MISDEMEANOR,BROOKLYN,,STREET,N.Y. POLICE DEPT,0,NA,,NA,1004066,174091,,,,,40.644502251,-73.928595409,"(40.644502251, -73.928595409)",PATROL BORO BKLYN SOUTH,,,UNKNOWN,E
977422266,05/01/2006,00:01:00,06/27/2006,11:30:00,94,06/27/2006,351,CRIMINAL MISCHIEF & RELATED OF,254,"MISCHIEF, CRIMINAL 4, OF MOTOR",COMPLETED,MISDEMEANOR,BROOKLYN,INSIDE,PARKING LOT/GARAGE (PRIVATE),N.Y. POLICE DEPT,0,NA,,NA,998040,204925,,,,,40.729145944,-73.95024671,"(40.729145944, -73.95024671)",PATROL BORO BKLYN NORTH,,,UNKNOWN,D
